431857002;Chronic kidney disease stage 4 (disorder);Chronic kidney disease, stage 4;N18.4;Chronic kidney disease, stage 4
46177005;End-stage renal disease (disorder);End-stage renal disease on dialysis;N18.5;Chronic kidney disease, stage 5
88805009;Chronic congestive heart failure (disorder);Decompensated chronic heart failure;I50.0;Congestive heart failure
414545008;Ischemic heart disease (disorder);Ischemic heart disease, stable angina;I25.9;Chronic ischaemic heart disease, unspecified
10509002;Acute bronchitis (disorder);Acute bronchitis, resolved;J20.9;Acute bronchitis, unspecified
55680006;Drug overdose;Drug overdose, treated and stabilised;T50.9;Poisoning by other and unspecified drugs
59621000;Essential hypertension (disorder);Hypertensive crisis, resolved;I10;Essential (primary) hypertension
271737000;Anemia (disorder);Anaemia, cause investigated and treated;D64.9;Anaemia, unspecified
195967001;Asthma;Acute severe asthma, stabilised;J45.9;Asthma, unspecified
125605004;Fracture of bone (disorder);Closed fracture, treated;S00-T14.9;Fracture, unspecified
26929004;Alzheimer's disease (disorder);Alzheimer's disease with behavioural disturbance;G30.9;Alzheimer's disease, unspecified
124171000119105;Chronic intractable migraine without aura;Chronic migraine without aura, intractable;G43.3;Complicated migraine
312608009;Laceration - injury (disorder);Laceration, sutured and healed;T14.1;Open wound of unspecified body region
68496003;Polyp of colon;Colonic polyp, removed endoscopically;K63.5;Polyp of colon
363406005;Malignant tumor of colon;Malignant neoplasm of colon, treated;C18.9;Malignant neoplasm of colon, unspecified
22298006;Myocardial infarction (disorder);Acute myocardial infarction, treated;I21.9;Acute myocardial infarction, unspecified
110030002;Concussion injury of brain (disorder);Concussion, resolved;S09.90;Unspecified injury of head
47505003;Posttraumatic stress disorder;Posttraumatic stress disorder, treated;F43.1;Post-traumatic stress disorder
840539006;COVID-19;COVID-19, pneumonia, recovering;U07.1;COVID-19, virus identified
239873007;Osteoarthritis of knee;Osteoarthritis of knee, managed;M17.9;Gonarthrosis, unspecified
401303003;Acute ST segment elevation myocardial infarction (disorder);STEMI, treated with PCI;I21.0;Acute transmural myocardial infarction of anterior wall
74400008;Appendicitis;Acute appendicitis, appendectomy performed;K37;Unspecified appendicitis
