FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
1,1,Aargau,AG,Aargau,0.025,0.048,0.038,0.018,0.003
2,2,Abruzzo,ABR,Abruzzo,0.085,0.122,0.11,0.05,0.002
3,3,Agder,AGD,Agder,0.032,0.058,0.038,0.022,0.0
4,4,Alentejo,ALE,Alentejo,0.105,0.143,0.085,0.075,0.004
5,5,Algarve,ALG,Algarve,0.075,0.112,0.055,0.048,0.004
6,6,Andalucía,AND,Andalucía,0.098,0.135,0.205,0.075,0.002
7,7,Antwerpen,ANT,Antwerpen,0.052,0.084,0.058,0.032,0.012
8,8,Aragon,ARA,Aragon,0.058,0.09,0.098,0.042,0.002
9,9,Asturias,AST,Asturias,0.068,0.102,0.132,0.058,0.002
10,10,Auvergne-Rhone-Alpes,ARA,Auvergne-Rhone-Alpes,0.055,0.088,0.062,0.035,0.001
11,11,Açores,AZO,Açores,0.092,0.13,0.075,0.068,0.004
12,12,Baden-Württemberg,BW,Baden-Württemberg,0.04,0.066,0.03,0.018,0.002
13,13,Baleares,BAL,Baleares,0.065,0.098,0.118,0.05,0.002
14,14,Basel-Stadt,BS,Basel-Stadt,0.035,0.062,0.052,0.028,0.003
15,15,Basilicata,BAS,Basilicata,0.11,0.148,0.175,0.078,0.002
16,16,Bayern,BY,Bayern,0.042,0.068,0.028,0.02,0.002
17,17,Berlin,BE,Berlin,0.072,0.105,0.09,0.045,0.002
18,18,Bern,BE,Bern,0.028,0.052,0.042,0.02,0.003
19,19,Bourgogne-Fr-Comte,BFC,Bourgogne-Fr-Comte,0.065,0.1,0.078,0.044,0.001
20,20,Brabant Wallon,BRW,Brabant Wallon,0.038,0.065,0.042,0.022,0.012
21,21,Brandenburg,BB,Brandenburg,0.056,0.087,0.062,0.035,0.002
22,22,Bremen,HB,Bremen,0.075,0.108,0.095,0.05,0.002
23,23,Bretagne,BRE,Bretagne,0.05,0.082,0.058,0.032,0.001
24,24,Brussels Capital,BRU,Brussels Capital,0.088,0.125,0.138,0.055,0.012
25,25,Burgenland,BG,Burgenland,0.045,0.074,0.058,0.03,0.005
26,26,Calabria,CAL,Calabria,0.13,0.17,0.23,0.095,0.002
27,27,Campania,CAM,Campania,0.112,0.152,0.21,0.085,0.002
28,28,Canarias,CAN,Canarias,0.095,0.132,0.198,0.075,0.002
29,29,Cantabria,CAN,Cantabria,0.058,0.091,0.102,0.044,0.002
30,30,Castilla y León,CYL,Castilla y León,0.072,0.108,0.132,0.06,0.002
31,31,Castilla-La Mancha,CLM,Castilla-La Mancha,0.082,0.118,0.168,0.068,0.002
32,32,Cataluña,CAT,Cataluña,0.068,0.102,0.118,0.05,0.002
33,33,Centre-Val-de-Loire,CVL,Centre-Val-de-Loire,0.062,0.096,0.072,0.04,0.001
34,34,Centro,CEN,Centro,0.088,0.126,0.065,0.058,0.004
35,35,Ceuta,CEU,Ceuta,0.145,0.185,0.29,0.11,0.002
36,36,Comunidad de Madrid,MAD,Comunidad de Madrid,0.065,0.098,0.115,0.048,0.002
37,37,Corse,COR,Corse,0.058,0.09,0.068,0.038,0.001
38,38,Dalarna,W,Dalarna,0.05,0.082,0.078,0.04,0.0
39,39,Drenthe,DR,Drenthe,0.046,0.075,0.049,0.036,0.005
40,40,Emilia-Romagna,EMR,Emilia-Romagna,0.045,0.075,0.045,0.02,0.002
41,41,Extremadura,EXT,Extremadura,0.115,0.155,0.24,0.092,0.002
42,42,Flemish Brabant,VBR,Flemish Brabant,0.038,0.065,0.042,0.022,0.012
