,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Evangelismos Hospital,45 Ypsilantou,Athens,,106 76,,+30 213 204 1000,,,,,37.9775,23.7478
1,10001,Hippokratio General Hospital,49 Konstantinoupoleos,Thessaloniki,,546 42,,+30 2313 312200,,,,,40.6089,22.9751
2,10002,Metropolitan Hospital (Neo Faliro),9 Ethnarchou Makariou, Neo Faliro,Piraeus,,185 47,,+30 210 480 9000,,,,,37.9446,23.6623
3,10003,St. Luke’s Hospital (Agios Loukas),3 Charilaou Trikoupi, Panorama,Thessaloniki,,552 36,,+30 2310 380000,,,,,40.621707,22.971939
4,10004,KAT Hospital (Attica General),2 Nikis, Kifisia,Athens,,145 61,,+30 213 208 6000,,,,,38.07444,23.8067487
5,10005,Aretaieio Hospital (Aretaieion),76 Vasilissis Sofias,Athens,,115 28,,+30 210 728 6301,,,,,37.979673,23.754288
6,10006,Laiko General Hospital of Athens,17 Agiou Thoma, Goudi,Athens,,115 27,,+30 210 745 6000,,,,,37.9833266,23.7652737
7,10007,IASO Hospital (Athens),37–39 Kifisias Ave., Marousi,Athens,,151 23,,+30 210 638 3000,,,,,38.035,23.793056
8,10008,Attikon University General Hospital,1 Rimini, Chaidari,Athens,,124 62,,+30 210 583 1000,,,,,38.0,23.65
9,10009,Mitera Hospital,6 Erythrou Stavrou, Marousi,Athens,,151 23,,+30 210 686 9000,,,,,38.037,23.793
10,10010,Gennimatas Hospital (Athens),154 Mesogeion Ave., Ampelokipoi,Athens,,115 27,,+30 213 203 9000,,,,,37.9938,23.7638
11,10011,Asklipieio Voulas (Asclepius Hospital),1 Levantou, Voula,Athens,,166 73,,+30 213 216 3000,,,,,37.8436,23.7681
12,10012,General Hospital of Nikaia ‘Agios Panteleimon’,1 Daskalogianni,Nikaia,,184 54,,+30 213 207 7000,,,,,37.9662,23.641
13,10013,General Hospital of Athens (duplicate of Gennimatas),154 Mesogeion Ave., Ampelokipoi,Athens,,115 27,,+30 213 203 9000,,,,,37.9938,23.7638
14,10014,Tzaneio General Hospital of Piraeus,Zanni & Afentouli 1,Piraeus,,185 36,,+30 213 208 1000,,,,,37.9332,23.6565
15,10015,Agios Nikolaos General Hospital (Crete),40 Agiou Georgiou,Agios Nikolaos,,721 00,,+30 2841 872000,,,,,35.1926,25.7128
16,10016,General Hospital of Larissa (Koutlimbaneio & Triantafylleio),1 Tsakalof,Larissa,,412 21,,+30 2410 259674,,,,,39.64252,22.42018
17,10017,Agios Andreas General Hospital of Patras,1 Tsertidou, Eglykada,Patras,,263 36,,+30 2613 601000,,,,,38.2338,21.7477
18,10018,General Hospital of Kozani ‘Mamatsio’,1 K. Mamatsiou,Kozani,,501 31,,+30 2461 352600,,,,,40.3072033,21.7862408
19,10019,Onassis Cardiac Surgery Center (Kallithea),356 Syggrou Ave., Kallithea,Athens,,176 74,,+30 210 949 3000,,,,,37.9394,23.7002
20,10020,Papageorgiou General Hospital of Thessaloniki,Ring Road A16, Nea Efkarpia (Pavlos Melas),Thessaloniki,,564 29,,+30 2313 323120,,,,,40.650948,22.966446
21,10021,Sismanogleio – Amalia Fleming General Hospital,1 Sismanogliou, Marousi,Athens,,151 26,,+30 213 205 8001,,,,,38.0435,23.809
22,10022,Sotiria Thoracic Diseases Hospital of Athens,152 Mesogeion Ave.,Athens,,115 27,,+30 210 776 3100,,,,,37.9965,23.7652
23,10023,Thriasio General Hospital of Elefsina,G. Gennimata Ave., Magoula,Elefsina,,190 18,,+30 213 202 8000,,,,,38.0815,23.5536
24,10024,AHEPA University General Hospital of Thessaloniki,1 St. Kiriakidi, Aristotle University Campus,Thessaloniki,,541 24,,+30 2310 994 750,,,,,40.6309,22.9563
25,10025,Agios Pavlos General Hospital of Thessaloniki,161 Ethnikis Antistaseos, Kalamaria,Thessaloniki,,551 34,,+30 2313 304 400,,,,,40.5808,22.9725
26,10026,Korgialenio–Benakio Hellenic Red Cross Hospital,1 Athanasaki & Erythrou Stavrou,Athens,,115 26,,+30 213 206 3372,,,,,37.9939,23.7867
27,10027,University General Hospital of Heraklion (PAGNI),Voutes, Stavrakia,Heraklion (Crete),,715 00,,+30 2810 392111,,,,,35.3051,25.0805
28,10028,Venizeleio – Pananeio General Hospital of Heraklion,Leoforos Knossou 44,Heraklion (Crete),,714 09,,+30 2810 368000,,,,,35.3265,25.1499
29,10029,Papageorgiou General Hospital (alt phone),Ring Road A16, Nea Efkarpia (Pavlos Melas),Thessaloniki,,564 29,,+30 2313 323130,,,,,40.650948,22.966446
30,10030,Papageorgiou General Hospital (Press Office),Ring Road A16, Nea Efkarpia (Pavlos Melas),Thessaloniki,,564 29,,+30 2313 323133,,,,,40.650948,22.966446
