,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Vilnius University Hospital Santaros Klinikos,Santariškių g. 2,Vilnius,LT-08661,1800,,+370 5 236 5000,,,,,54.752725,25.278443
1,10001,Hospital of Lithuanian University of Health Sciences Kaunas Clinics,Eivenių g. 2,Kaunas,LT-50161,1800,,+370 37 326 375,,,,,54.8945,23.9036
2,10002,Respublikinė Kauno ligoninė (Republican Kaunas Hospital),Hipodromo g. 13,Kaunas,LT-45130,1800,,+370 37 342 170,,,,,54.878136,23.940681
3,10003,Klaipėda University Hospital,Liepojos g. 41,Klaipėda,LT-92288,9000,,+370 46 396 600,,,,,55.7536,21.1258
4,10004,Klaipėda Republican Hospital,S. Nėries g. 3,Klaipėda,LT-92231,9000,,+370 46 410 688,,,,,55.7169,21.12
5,10005,Respublikinė Panevėžio ligoninė (Panevėžys Republican Hospital),Smėlynės g. 25,Panevėžys,LT-35144,9500,,+370 45 507 244,,,,,55.733,24.357
6,10006,Respublikinė Šiaulių ligoninė (Šiauliai Republican Hospital),V. Kudirkos g. 99,Šiauliai,LT-76231,9230,,+370 41 524 257,,,,,55.933,23.316
7,10007,Marijampolė Hospital (Marijampolės ligoninė),Palangos g. 1,Marijampolė,LT-68188,9900,,+370 343 50435,,,,,54.56653,23.34459
8,10008,Alytaus apskrities S. Kudirkos ligoninė,Ligoninės g. 12,Alytus,LT-62114,8400,,+370 315 56301,,,,,54.396,24.037
9,10009,Utena Hospital (Utenos ligoninė),Aukštakalnio g. 3,Utena,LT-28151,8930,,+370 389 63861,,,,,55.5,25.6
10,10010,Kėdainiai Hospital (Kėdainių ligoninė),Budrio g. 5,Kėdainiai,LT-57400,8800,,+370 347 51500,,,,,55.286,23.972
11,10011,Tauragė Hospital (Tauragės ligoninė),G. Petkevičiaus g. 3,Tauragė,LT-72400,8800,,+370 446 54500,,,,,55.25,22.29
12,10012,Kretinga Hospital (Kretingos ligoninė),Gamyklos g. 5,Kretinga,LT-97101,3290,,+370 445 79100,,,,,55.877,21.26
13,10013,Palanga Hospital (Palangos ligoninė),Vytauto g. 128,Palanga,LT-00163,3290,,+370 460 41260,,,,,55.915,21.07
