RXNORM code	 RXNORM uri	 RXNORM label	 SNOMED code	 SNOMED uri	 SNOMED label
1049504	-	Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin]	765706002	http://snomed.info/id/387458008	Oxycodone hydrochloride 10 mg prolonged-release oral tablet
245134	-	Aspirin	769510009	http://snomed.info/id/387458008	Fentanyl 25 microgram/hour prolonged-release transdermal patch
1191	-	Aspirin	387458008	http://snomed.info/id/387458008	Aspirin
29046	-	Lisinopril	386873009	http://snomed.info/id/386873009	Lisinopril
238100	-	lorazepam 2 MG/ML Injectable Solution	1193826002	http://snomed.info/id/1193826002	Lorazepam 2 mg/mL solution for injection
1870230	-	NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector	781862008	http://snomed.info/id/781862008	Epinephrine 1 mg/mL solution for injection
1599803	-	24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 28 MG Extended Release Oral Capsule	1172743009	http://snomed.info/id/1172743009	Donepezil (as donepezil hydrochloride) 5 mg and memantine (as memantine hydrochloride) 10 mg oral tablet
1431987	-	24 HR tacrolimus 5 MG Extended Release Oral Capsule	116332400	http://snomed.info/id/116332400	
206905	http://purl.bioontology.org/ontology/RXNORM/206905	ibuprofen 400 MG Oral Tablet [Ibu]	329653008	http://snomed.info/id/329653008	Ibuprofen 400 mg oral tablet
1648755	http://purl.bioontology.org/ontology/RXNORM/1648755	nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule	377545002	http://purl.bioontology.org/ontology/SNOMEDCT/377545002	Nitrofurantoin macrocrystal 25 mg and nitrofurantoin monohydrate 75 mg oral capsule
562251	http://purl.bioontology.org/ontology/RXNORM/562251	amoxicillin 250 MG / clavulanate 125 MG Oral Tablet	323563001	http://purl.bioontology.org/ontology/SNOMEDCT/323563001	Amoxicillin 250 mg and clavulanic acid (as clavulanate potassium) 125 mg oral tablet
849574	http://purl.bioontology.org/ontology/RXNORM/849574	naproxen sodium 220 MG Oral Tablet	420276008	http://snomed.info/id/420276008	Naproxen sodium 220 mg oral capsule
313782	http://purl.bioontology.org/ontology/RXNORM/313782	acetaminophen 325 MG Oral Tablet	370150001	http://purl.bioontology.org/ontology/SNOMEDCT/370150001	Acetaminophen 325 mg oral tablet
