System	Code	Display	status
http://loinc.org	  3137-7	Body height Measured	
http://loinc.org	  3138-5	Body height Stated	
http://loinc.org	  8301-4	Body height Estimated	
http://loinc.org	  8302-2	Body height	
http://loinc.org	  8305-5	Body height --post partum	
http://loinc.org	  8306-3	Body height --lying	
http://loinc.org	  8307-1	Body height --preoperative	
http://loinc.org	  8308-9	Body height --standing	
http://loinc.org	  92999-2	Body height --sitting	
http://loinc.org	  34565-2	Vital signs, weight and height panel	
http://loinc.org	  34566-0	Vital signs with method details panel	
http://loinc.org	  67795-5	Vital signs, weight, height, head circumference and oximetry panel HITSP	
http://loinc.org	  74728-7	Vital signs, weight, height, head circumference, oximetry, BMI, and BSA panel	
http://loinc.org	  85353-1	Vital signs, weight, height, head circumference, oxygen saturation and BMI panel	
http://loinc.org	  35094-2	Blood pressure panel	
http://loinc.org	  55417-0	Short blood pressure panel	
http://loinc.org	  85354-9	Blood pressure panel with all children optional	
http://loinc.org	  39156-5	Body mass index (BMI) [Ratio]	
http://loinc.org	  41909-3	Deprecated Body mass index (BMI)	DEPRECATED
http://loinc.org	  89270-3	Body mass index (BMI) [Ratio] Estimated	
http://loinc.org	  8310-5	Body temperature	
http://loinc.org	  29463-7	Body weight	
http://loinc.org	  3141-9	Body weight Measured	
http://loinc.org	  3142-7	Body weight Stated	
http://loinc.org	  8335-2	Body weight Estimated	
http://loinc.org	  8350-1	Body weight Measured --with clothes	
http://loinc.org	  8351-9	Body weight Measured --without clothes	
http://loinc.org	  40443-4	Heart rate --resting	
http://loinc.org	  60978-4	Heart rate Intra arterial line by Invasive	
http://loinc.org	  67129-7	Heart rate Peripheral artery by palpation --resting	
http://loinc.org	  68999-2	Heart rate --supine	
http://loinc.org	  69000-8	Heart rate --sitting	
http://loinc.org	  69001-6	Heart rate --standing	
http://loinc.org	  73795-7	Heart rate Blood Postductal Pulse oximetry	
http://loinc.org	  73799-9	Heart rate Blood Preductal Pulse oximetry	
http://loinc.org	  76476-1	Heart rate by Transthoracic impedance	
http://loinc.org	  76477-9	Heart rate by Noninvasive	
http://loinc.org	  8867-4	Heart rate	
http://loinc.org	  8889-8	Heart rate by Pulse oximetry	
http://loinc.org	  8890-6	Heart rate Cardiac apex by Auscultation	
http://loinc.org	  8891-4	Heart rate Cardiac apex by palpation	
http://loinc.org	  8892-2	Heart rate Peripheral artery by US.doppler	
http://loinc.org	  8893-0	Heart rate Peripheral artery by palpation	
http://loinc.org	  61012-1	Breath rate Capillary blood	
http://loinc.org	  76170-0	Respiratory rate by Acoustic measurement	
http://loinc.org	  76171-8	Respiratory rate by Airway flow measurement	
http://loinc.org	  76172-6	Respiratory rate by Carbon dioxide measurement	
http://loinc.org	  76173-4	Respiratory rate by Non-airway pressure measurement	
http://loinc.org	  76174-2	Respiratory rate by Pulse oximetry.plethysmograph	
http://loinc.org	  76270-8	Respiratory rate by Impedance.transthoracic	
http://loinc.org	  9279-1	Respiratory rate	
http://loinc.org	  9303-9	Respiratory rate --resting	
http://loinc.org	  2708-6	Oxygen saturation in Arterial blood	
http://loinc.org	  51733-4	Oxygen saturation Calculated from oxygen partial pressure in Arterial blood	
http://loinc.org	  59408-5	Oxygen saturation in Arterial blood by Pulse oximetry	
http://loinc.org	  59417-6	Oxygen saturation in Arterial blood by Pulse oximetry --resting	
http://loinc.org	  8287-5	Head Occipital-frontal circumference by Tape measure	
http://loinc.org	  8288-3	Head Occipital-frontal circumference by US	
http://loinc.org	  8290-9	Head Occipital-frontal circumference --at birth- by Tape measure	
http://loinc.org	  8291-7	Head Occipital-frontal circumference --at birth- by US	
http://loinc.org	  9843-4	Head Occipital-frontal circumference	
